#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
250        2811.85 528.585 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
251        3707.17 1734.33 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
252        2668.56 2402.71 14.004  0.012   0.794   0.024   -0.059  0.022   1.092   0.013  
253        1776.08 2792.68 13.646  0.021   0.589   0.031   0.219   0.021   0.441   0.020  
254        2274.84 1665.38 13.929  0.018   1.651   0.025   0.993   0.018   1.595   0.017  
255        3698.44 1955.17 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
256        2799.94 2593.09 14.553  0.012   2.400   0.020   0.651   0.020   3.300   0.014  
257        3736.36 3560.31 13.949  0.024   0.712   0.038   0.308   0.027   0.713   0.024  
258        238.050 2509.54 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
259        2336.19 985.036 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
260        1230.40 3432.45 13.873  0.016   0.973   0.036   0.431   0.032   1.092   0.016  
261        3040.98 3203.32 13.639  0.014   1.880   0.023   1.203   0.020   1.735   0.016  
262        3226.48 1191.52 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
263        2397.45 232.875 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
264        1249.70 1269.16 13.544  0.027   0.748   0.042   0.330   0.031   0.706   0.027  
265        694.480 1741.39 13.695  0.024   0.703   0.048   0.041   0.041   0.685   0.024  
266        420.974 3864.17 13.688  0.029   1.498   0.051   1.022   0.042   1.529   0.032  
267        3326.30 1151.69 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
268        254.259 383.698 14.482  0.026   0.806   0.038   0.214   0.025   INDEF   INDEF  
269        3546.16 3047.70 13.942  0.024   0.765   0.035   0.233   0.024   0.674   0.024  
270        132.380 2180.55 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
271        3610.56 2346.79 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
272        1911.33 704.890 14.042  0.018   0.822   0.040   0.034   0.037   0.975   0.019  
273        3499.64 3850.49 14.656  0.020   2.418   0.032   0.861   0.026   2.828   0.020  
274        523.783 88.306  12.692  0.032   2.229   0.048   1.236   0.036   INDEF   INDEF  
275        3693.02 935.750 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
276        1457.78 308.937 14.007  0.030   0.786   0.044   -0.006  0.032   0.654   0.030  
277        1215.20 330.353 13.998  0.019   0.794   0.037   0.215   0.034   0.727   0.022  
278        871.226 3824.86 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
279        1629.91 2484.97 14.212  0.015   1.567   0.027   0.700   0.023   1.638   0.015  
280        1132.69 1807.74 14.298  0.014   1.665   0.027   1.019   0.025   1.786   0.014  
281        1327.95 3104.94 13.913  0.013   0.903   0.025   0.523   0.020   0.765   0.014  
282        3584.45 1496.25 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
283        10.653  1447.80 15.156  0.109   0.100   0.122   INDEF   INDEF   INDEF   INDEF  
284        1579.43 3860.20 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
285        1301.22 1981.80 14.307  0.020   1.804   0.029   1.034   0.022   1.864   0.019  
286        755.072 3156.46 14.015  0.014   1.181   0.037   0.488   0.034   1.241   0.016  
287        1980.49 4.382   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
288        2962.22 2427.25 13.950  0.014   0.884   0.024   0.176   0.021   0.836   0.015  
289        1629.31 3107.44 15.012  0.009   2.700   0.020   0.477   0.021   3.219   0.010  
290        2949.23 2353.73 13.849  0.012   0.748   0.025   0.058   0.023   0.643   0.013  
291        2483.95 1472.66 14.224  0.014   0.633   0.035   0.230   0.032   0.844   0.015  
